Sample,Type,SeqID,Reads,Coverage,Path
D128_1,offspring,D128_1_S1412,189026,501.658,/home/maccamp/kootenai/data/align/D128_1_S1412.sort.bam
DS128_8,offspring,DS128_8_S1420,185897,494.244,/home/maccamp/kootenai/data/align/DS128_8_S1420.sort.bam
523F_16,offspring,523F_16_S1428,180366,475.468,/home/maccamp/kootenai/data/align/523F_16_S1428.sort.bam
523F_15,offspring,523F_15_S1436,211957,553.614,/home/maccamp/kootenai/data/align/523F_15_S1436.sort.bam
523F_5,offspring,523F_5_S1444,168358,444.442,/home/maccamp/kootenai/data/align/523F_5_S1444.sort.bam
523F_14,offspring,523F_14_S1452,206070,537.469,/home/maccamp/kootenai/data/align/523F_14_S1452.sort.bam
523F_6,offspring,523F_6_S1460,176821,466.713,/home/maccamp/kootenai/data/align/523F_6_S1460.sort.bam
35FC_23,offspring,35FC_23_S1468,178810,473.881,/home/maccamp/kootenai/data/align/35FC_23_S1468.sort.bam
35FC_16,offspring,35FC_16_S1476,164801,436.156,/home/maccamp/kootenai/data/align/35FC_16_S1476.sort.bam
35FC_4,offspring,35FC_4_S1484,160194,424.662,/home/maccamp/kootenai/data/align/35FC_4_S1484.sort.bam
35FC_14,offspring,35FC_14_S1492,163126,434.274,/home/maccamp/kootenai/data/align/35FC_14_S1492.sort.bam
35FC_10,offspring,35FC_10_S1405,182269,481.657,/home/maccamp/kootenai/data/align/35FC_10_S1405.sort.bam
DAB2_14,offspring,DAB2_14_S1413,186549,495.841,/home/maccamp/kootenai/data/align/DAB2_14_S1413.sort.bam
DAB2_1,offspring,DAB2_1_S1421,182136,480.539,/home/maccamp/kootenai/data/align/DAB2_1_S1421.sort.bam
DAB2_2,offspring,DAB2_2_S1429,186137,490.968,/home/maccamp/kootenai/data/align/DAB2_2_S1429.sort.bam
DAB2_21,offspring,DAB2_21_S1437,205104,540.459,/home/maccamp/kootenai/data/align/DAB2_21_S1437.sort.bam
DAB2_13,offspring,DAB2_13_S1445,190473,502.1,/home/maccamp/kootenai/data/align/DAB2_13_S1445.sort.bam
0C72_6,offspring,0C72_6_S1453,215013,569.093,/home/maccamp/kootenai/data/align/0C72_6_S1453.sort.bam
0C72_18,offspring,0C72_18_S1461,196029,519.11,/home/maccamp/kootenai/data/align/0C72_18_S1461.sort.bam
0C72_2,offspring,0C72_2_S1469,173972,463.319,/home/maccamp/kootenai/data/align/0C72_2_S1469.sort.bam
0C72_12,offspring,0C72_12_S1477,198268,519.755,/home/maccamp/kootenai/data/align/0C72_12_S1477.sort.bam
0C72_17,offspring,0C72_17_S1485,447457,1181.44,/home/maccamp/kootenai/data/align/0C72_17_S1485.sort.bam
8749_2,offspring,8749_2_S1493,77955,207.429,/home/maccamp/kootenai/data/align/8749_2_S1493.sort.bam
8749_23,offspring,8749_23_S1406,146080,386.92,/home/maccamp/kootenai/data/align/8749_23_S1406.sort.bam
8749_14,offspring,8749_14_S1414,173723,460.314,/home/maccamp/kootenai/data/align/8749_14_S1414.sort.bam
8749_24,offspring,8749_24_S1422,173966,459.873,/home/maccamp/kootenai/data/align/8749_24_S1422.sort.bam
8749_7,offspring,8749_7_S1430,173331,458.911,/home/maccamp/kootenai/data/align/8749_7_S1430.sort.bam
6CD2_14,offspring,6CD2_14_S1438,157217,418.839,/home/maccamp/kootenai/data/align/6CD2_14_S1438.sort.bam
6CD2_7,offspring,6CD2_7_S1446,135508,360.943,/home/maccamp/kootenai/data/align/6CD2_7_S1446.sort.bam
6CD4212,offspring,6CD4212_S1454,157982,416.582,/home/maccamp/kootenai/data/align/6CD4212_S1454.sort.bam
6CD2_24,offspring,6CD2_24_S1462,156043,414.228,/home/maccamp/kootenai/data/align/6CD2_24_S1462.sort.bam
6CD2_8,offspring,6CD2_8_S1470,148774,393.733,/home/maccamp/kootenai/data/align/6CD2_8_S1470.sort.bam
E401_7,offspring,E401_7_S1478,158704,422.231,/home/maccamp/kootenai/data/align/E401_7_S1478.sort.bam
E401_10,offspring,E401_10_S1486,192407,505.777,/home/maccamp/kootenai/data/align/E401_10_S1486.sort.bam
E401_22,offspring,E401_22_S1494,153657,403.517,/home/maccamp/kootenai/data/align/E401_22_S1494.sort.bam
E401_13,offspring,E401_13_S1407,157814,422.787,/home/maccamp/kootenai/data/align/E401_13_S1407.sort.bam
